prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
crr,29.643859,-82.344859,Carr Hall,academic,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11,2,6,10,7,7,14,2,1,12,1,5,0,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23
crrB,29.643859,-82.344859,Carr Hall,academic,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11,2,6,10,7,7,14,2,1,12,1,5,0,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23
cse,29.64821,-82.344387,CISE,academic,3,7,1,0,0,0,0,0,0,1,1,0,4,1,15,47,94,77,86,114,119,112,93,141,153,112,96,99,125,87,71,43,51,23,29,7,20,14,12,5,27,3,5,24,21,11,5,2,196
csee,29.64821,-82.344387,CISE,academic,3,7,1,0,0,0,0,0,0,1,1,0,4,1,15,47,94,77,86,114,119,112,93,141,153,112,96,99,125,87,71,43,51,23,29,7,20,14,12,5,27,3,5,24,21,11,5,2,196
csev,29.64821,-82.344387,CISE,academic,3,7,1,0,0,0,0,0,0,1,1,0,4,1,15,47,94,77,86,114,119,112,93,141,153,112,96,99,125,87,71,43,51,23,29,7,20,14,12,5,27,3,5,24,21,11,5,2,196
csfl,29.633672,-82.361716,Crops And Soils Field Lab,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cwp,29.648189,-82.348498,Lacy R. Chilled Water Plt. CWP2,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dau,29.649895,-82.344979,Dauer Hall,academic,4,3,1,2,0,1,0,0,0,1,0,0,4,1,14,16,17,23,23,32,35,37,35,44,36,45,17,39,21,39,23,20,22,22,8,12,8,9,5,3,3,14,6,9,8,9,3,7,41
dinefreshfood,29.647025,-82.341302,Fresh Food,social,1,0,0,1,0,0,0,0,0,0,0,2,4,1,14,3,19,10,16,20,15,16,28,32,20,26,20,20,6,15,3,17,8,10,9,10,3,5,11,8,6,4,12,4,2,1,2,1,28
edb,29.641637,-82.348364,Engineering Design Building,academic,0,0,0,2,0,0,0,0,0,0,0,1,3,0,1,2,4,0,1,4,2,3,2,4,2,2,5,3,2,4,1,9,1,4,1,3,0,2,0,1,1,0,0,0,0,0,0,1,8
